baseline,baseline_step,candidate,candidate_step,task,task_chinese,primary_metric,direction,baseline_value,candidate_value,absolute_improvement,relative_improvement_percent,ci95_low_percent,ci95_high_percent,bootstrap_probability_improved,bootstrap_valid_draws,test_samples,test_participants,seed
OpenMHC-Onset,750,FemMHC-Onset,750,menstrual_onset_24h,24小时内月经开始,auprc,higher,0.0383392365599549,0.0418612334510535,0.0035219968910986,9.186403296244356,-42.39378582922276,46.712352312014666,0.661,2000,936,7,42
OpenMHC-Onset,750,FemMHC-Onset,750,menstrual_onset_72h,72小时内月经开始,auprc,higher,0.1071423899278437,0.1127811462970114,0.0056387563691677,5.262862227513556,-11.728515883027123,17.308663542365036,0.639,2000,939,7,42
OpenMHC-Onset,1000,FemMHC-Onset,1000,menstrual_onset_24h,24小时内月经开始,auprc,higher,0.0416558455296475,0.048675325218566,0.0070194796889185,16.85112761406459,-31.428107726589435,89.65669207935095,0.7525,2000,936,7,43
OpenMHC-Onset,1000,FemMHC-Onset,1000,menstrual_onset_72h,72小时内月经开始,auprc,higher,0.1082261903922762,0.1246757484358749,0.0164495580435986,15.199239651673638,3.028636979611987,45.78465338449672,0.998,2000,939,7,43
OpenMHC-Onset,750,FemMHC-Onset,1000,menstrual_onset_24h,24小时内月经开始,auprc,higher,0.0373816140321193,0.0472459976526478,0.0098643836205284,26.388329867331915,10.214596421677133,56.42924102723136,0.999,2000,936,7,44
OpenMHC-Onset,750,FemMHC-Onset,1000,menstrual_onset_72h,72小时内月经开始,auprc,higher,0.1106433818467619,0.1122439768551609,0.001600595008399,1.4466251678891917,-16.2851423813056,23.06294015388653,0.5715,2000,939,7,44
