task,task_chinese,metric,baseline_value,candidate_value,relative_improvement_percent,ci95_low_percent,ci95_high_percent,bootstrap_probability_improved,valid_draws,seed
menstrual_onset_24h,24小时内月经开始,auprc,0.0354064407819063,0.038996318831293,10.139053714829334,-32.80779222659513,32.132089696113404,0.673,2000,42
menstrual_onset_24h,24小时内月经开始,auroc,0.5186241311709143,0.5859205132774906,12.975945017182116,-14.719111054176844,28.67032405117865,0.8755,2000,42
menstrual_onset_24h,24小时内月经开始,brier,0.0320301533343627,0.0320025771442138,0.0860944681125797,-0.0929523996737091,0.2039150989175278,0.86,2000,42
menstrual_onset_24h,24小时内月经开始,ece_10,0.0020015429289089,0.0028072792260034,-40.255758967590445,-310.8710191641653,83.21314213072957,0.257,2000,42
menstrual_onset_72h,72小时内月经开始,auprc,0.1060953859884875,0.1125193603088315,6.054904518695102,-7.857933594664274,17.779851546648004,0.743,2000,42
menstrual_onset_72h,72小时内月经开始,auroc,0.5533981828448231,0.5838380986602331,5.500544952809417,-1.4854111405835604,15.44191601709832,0.9355,2000,42
menstrual_onset_72h,72小时内月经开始,brier,0.08847042405183,0.0882341839378448,0.2670272201327417,-0.1304906765158622,0.714106635770591,0.908,2000,42
menstrual_onset_72h,72小时内月经开始,ece_10,0.0203031561606533,0.016353104071037,19.45535983844383,-41.42372966539032,36.69840136811242,0.838,2000,42
menstrual_onset_24h,24小时内月经开始,auprc,0.0339802864549166,0.0490378423206765,44.312621924884304,23.75052884871746,107.8416418148868,1.0,2000,43
menstrual_onset_24h,24小时内月经开始,auroc,0.5185528426305472,0.594724648012832,14.689304371734934,5.203505463589784,34.4832441565756,0.9995,2000,43
menstrual_onset_24h,24小时内月经开始,brier,0.0320500405392598,0.0319910508000385,0.1840551157775633,0.1249429870901959,0.3324157699246157,1.0,2000,43
menstrual_onset_24h,24小时内月经开始,ece_10,0.0025922646586786,0.0015646534451916,39.64144671905517,-929.6601964603908,93.84776405905616,0.7915,2000,43
menstrual_onset_72h,72小时内月经开始,auprc,0.11059767975884,0.1218372387638705,10.162563111214013,-0.281389023351878,38.54871390002444,0.973,2000,43
menstrual_onset_72h,72小时内月经开始,auroc,0.585827216261999,0.5838765977105899,-0.3329682365827003,-8.096945301486606,12.207027883325663,0.594,2000,43
menstrual_onset_72h,72小时内月经开始,brier,0.088512990813273,0.0881916778259706,0.3630122362266226,-0.1191697022914525,1.0357864982226597,0.9275,2000,43
menstrual_onset_72h,72小时内月经开始,ece_10,0.0194435743979952,0.0065595714810821,66.26355140874479,-34.68207211239335,92.85248573909251,0.9095,2000,43
menstrual_onset_24h,24小时内月经开始,auprc,0.0347594546607639,0.0472869408508798,36.040514192119296,10.250529710055003,82.68553900889388,0.997,2000,44
menstrual_onset_24h,24小时内月经开始,auroc,0.5312065585457137,0.5709499198003921,7.481715090921302,-5.941879424707875,22.424868089011245,0.8585,2000,44
menstrual_onset_24h,24小时内月经开始,brier,0.0320376061532825,0.0320108961408557,0.0833708120982687,0.0070613924838636,0.2329084383000221,0.9845,2000,44
menstrual_onset_24h,24小时内月经开始,ece_10,0.0013638270199008,0.0012389564414214,9.155895627321415,-218.32218161623675,60.88933415117132,0.7475,2000,44
menstrual_onset_72h,72小时内月经开始,auprc,0.1140573434042557,0.1099566909126021,-3.5952551315521726,-22.66258868234301,17.871318472987628,0.416,2000,44
menstrual_onset_72h,72小时内月经开始,auroc,0.5886504799548278,0.5515245623941276,-6.306954436450838,-16.977442241222487,5.129317274737088,0.1125,2000,44
menstrual_onset_72h,72小时内月经开始,brier,0.0884589099840359,0.0883335446547933,0.1417215397128816,-0.3335220446092255,1.0989412916092562,0.6895,2000,44
menstrual_onset_72h,72小时内月经开始,ece_10,0.0100909449066572,0.0054563926162941,45.927832658223394,-19.50614624599967,95.37282304100124,0.935,2000,44
